_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
2022-05-09T16:51:51.2Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.34;Accelerazione_Max_SX;;2022-05-09T16:51:50.9Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:50.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:52.4Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:51.9Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:51.5Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:53.3Z;10.91;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.33;Accelerazione_Max_SX;;2022-05-09T16:51:52.9Z;10.87;Accelerazione_Media_DX;2022-05-09T16:51:52.4Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:54.4Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.46;Accelerazione_Max_SX;;2022-05-09T16:51:53.9Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:53.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:55.7Z;10.91;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.3;Accelerazione_Max_SX;;2022-05-09T16:51:55.3Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:54.9Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:56.8Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:56.5Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:56.3Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:57.4Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:57.1Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:57Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:58.3Z;10.91;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:58Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:57.5Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:59.1Z;10.91;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.33;Accelerazione_Max_SX;;2022-05-09T16:51:58.8Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:58.3Z;10.24;Accelerazione_Media_SX
2022-05-09T16:52:00Z;10.99;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.32;Accelerazione_Max_SX;;2022-05-09T16:51:59.8Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:59.2Z;10.25;Accelerazione_Media_SX
2022-05-09T16:52:01.1Z;10.91;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:52:00.8Z;10.85;Accelerazione_Media_DX;2022-05-09T16:52:00Z;10.24;Accelerazione_Media_SX
